1o3ma5d	unlimited PTO secretly capped, HR policing PTO usage, manager shielding team from HR
1mo2ki0	good work punished with more work, silent resignation unnoticed, performing less to avoid overload
1n2n5at	staff couldn't call 911, bystander effect emergency failure, no emergency training at work
1ohipo8	benefits use blocks promotion, flex hours limit skill-building, Craig passed over for promotion
1nq97gf	employee suspected working two jobs, good performance still suspicious, overemployment manager dilemma
1nihrir	new hire going over manager's head, backstabbing to skip manager, triangulating with boss
1qqfgk4	boss reversed PTO denial, covered remote while on leave, single point of failure risk
1nxxj9a	PIPs always end in firing, telling employee PIP truth, legal risk of PIP honesty
1nbkvnc	managers stop getting honest feedback, employees fear giving negative feedback, feedback dries up at top
1qiwdqa	star employee refused award, 2% raise insults high performer, employee of month meaningless
1mdcgh3	raise used to quit faster, fought for raise then lost employee, too little too late salary
1sfxnau	WFH employee faking logged hours, IT logs expose remote cheating, new hire milking remote system
1np3o82	can't promote deserving employee, budget blocked approved raise, star performer leaving due to pay freeze
1lofy1t	became manager for money only, management is glorified babysitting, IC role pays more now
1mddh04	Gen Z thrives without micromanagement, meme-based trust with manager, managing wifi not hovering
1rgqxh2	RTO forces childcare impossible conflict, used as quiet-quitting tool, hybrid for managers not reports
1oe522u	entry-level wants decision authority, employee wants to shadow manager, ambitious new hire overstepping
1mhnd12	managers not managing at all, IC work consuming manager time, headcount frozen manager overloaded
1rai4g9	employee skipping PTO entry, time theft discovered on leave, manager confronted defensive employee quit
1mnzqxl	PIP for single absence, forced to read PIP verbatim, not briefed before PIP meeting
1slijiq	toxic high performer makes team cry, 150% targets buys bad behavior, protecting team from Sarah
1o7jwzg	invisible worker fired then chaos, fired someone only to regret it, undocumented critical work discovered
1meqxc2	trust makes management harder not easier, team trusts you now weight is real, managing easier before trust
1oq74un	leaving for 90% raise, department moving to India, manager invested heavily then employee quit
1n7eahh	employee angry at peer's PTO, coworker resents others taking leave, jealous of colleagues time off
