RowID	BrandFit	Domains	Asset
1480	TRANSPLANT	58	500+ Job Description Templates with Built-In Skills-Assessment Pairing: Filter by Role, Level, and Required Competency
1555	TRANSPLANT	13	Talent Acquisition Specialist Job Description Template + Skills Assessment Kit: What to Test Before Hiring Your Next Recruiter
1564	TRANSPLANT	12	Recruiting Coordinator Job Description Template + Competency Assessment Guide: How to Screen for the Skills That Actually Predict Recruiting Success
2074	CORE	11	Skills-Based Job Description Templates for 30 Roles: Competency Definitions, Skills Lists, and What to Test at Each Hiring Stage
1593	TRANSPLANT	10	QA Engineer Job Description Template + Pre-Hire Skills Assessment Guide: Manual vs Automation Testing Competencies
2093	TRANSPLANT	8	Head of Growth Job Description Template + Skills Profile: Growth Role Competencies, Proficiency Levels, and Assessment Recommendations
2149	ADJACENT	4	Psychometric Tests vs Skills Assessments: Which Actually Predicts Job Performance? (Original Data Study with Validity Benchmarks)
2163	CORE	4	Skills Profile Builder: Step-by-Step Guide + 15 Pre-Built Role Templates with Competency Levels and Assessment Links
2164	TRANSPLANT	4	Virtual Assistant Job Description Template + Skills Assessment: What to Test Before Hiring a Remote VA
2209	TRANSPLANT	3	Recruiter Job Description Template + Skills Assessment Rubric: How to Screen Recruiters on the Competencies That Predict Hiring Outcomes
224	TRANSPLANT	2	Skills-Based Job Description Templates for 50+ Technical Roles: Each Template Includes a Mapped Skills Assessment Checklist
