Format,# pages,Total Domains,Avg Domains,# competitors
Answer-bait (what-is / how-it-works),654,17740,27.1,11
Other / editorial,654,9313,14.2,12
Free test / assessment,425,5854,13.8,12
Guide / pillar,258,4591,17.8,11
Templates,62,4219,68.0,9
Glossary / dictionary,35,4179,119.4,6
Rankings / best-tools / comparison,188,3985,21.2,12
Data report / research,61,2855,46.8,9
Interview-questions listicle,88,1418,16.1,9
Jobs / JD page,25,282,11.3,3
Checklist / cheat sheet,5,187,37.4,4
Case study / marketer bait,10,45,4.5,4
Quiz,2,13,6.5,1
Calculator / generator / tool,1,12,12.0,1
Facts page,1,3,3.0,1
