RowID	BrandFit	Domains	Asset
1787	CORE	382	Testlify State of Skills-Based Hiring 2026: Annual Survey of 1,000+ Employers on Adoption, AI Interviewing, Assessment ROI, and Candidate Experience
286	TRANSPLANT	287	Assessment-to-Onboarding Impact Report: How Pre-Hire Skills Test Scores Predict 90-Day Performance and Time-to-Productivity
1789	CORE	257	Testlify State of Skills-Based Hiring 2026: Global Survey Including APAC, India, and LATAM with AI Interview and Proctoring-Specific Data
2250	CORE	177	100 Skills Assessment & Hiring Statistics for 2026: A Fully-Indexed, Ungated Hub With Testlify Platform Data
1790	CORE	155	strong — no obvious gap
520	CORE	97	2026 Candidate Experience with Assessments Report: How Test Type, Length, and Feedback Transparency Drive Completion and Positive Sentiment
10	CORE	87	Annual Hiring & Assessment Benchmarks Report: Interview Rounds, Time-to-Hire, and Skills-Test Pass Rates by Role
1796	CORE	86	strong — no obvious gap
1797	CORE	76	50 Skills Assessment & AI Interview Statistics 2026 — Sourced from Testlify Platform Data and Independent Research
1348	CORE	65	65 Skills Assessment & AI Interview Statistics Every Recruiter Needs in 2026: Adoption, ROI, Candidate Experience, and Validity Data
404	TRANSPLANT	61	Assessing Experience vs. Credentials: A Data Report on Hiring Mature Workers and Career Changers with Skills Tests
522	CORE	60	Ungated: 2026 Candidate Expectations for AI-Assisted Hiring — Assessment Fairness, Feedback Speed, and Resume-Alternative Preferences
889	CORE	50	2026 Skills Assessment Benchmark: Adoption Rates, Test Validity, Pass/Fail Distributions, and Candidate Experience Across 50+ Role Categories — Powered by Testlify Platform Data
2258	CORE	50	30 Skills-Based Hiring Statistics That Actually Come From Assessment Platforms: Adoption, Validity, and ROI Data Sourced to First-Party Testlify Benchmarks
524	CORE	48	2026 Skills Assessment Adoption Benchmark: Which Industries Use Which Test Types, and What Outcomes Do They Report?
525	CORE	48	2026 Hiring Benchmark Report: AI Fluency Testing, Gen-Z Readiness Assessments, and Skills Gap Data — Fully Ungated
526	CORE	41	Assessment Format Fairness Report 2026: Adverse Impact, Completion Rates, and Candidate Preference Across Cognitive, Technical, and Game-Based Tests by Demographic
482	TRANSPLANT	36	Gamified Assessments Benchmark Report: Completion Rates, Candidate Experience Scores, and Validity vs. Standard Tests
490	TRANSPLANT	35	State of Talent Acquisition Skills 2026: How Well Can Recruiters and Hiring Managers Actually Assess Candidates?
2266	CORE	31	AI Interview Transparency Report 2026: How Accuracy, Bias Reduction, and Candidate Trust Actually Break Down by AI Interview Type and Hiring Stage
893	CORE	30	Skills-Based Hiring in Practice 2026: Which Assessment Types Are Companies Actually Using, How They Set Score Thresholds, and What Outcomes They Report
1811	TRANSPLANT	26	When You Remove the Resume: A Data Report on Assessment-First Hiring Funnels — Completion Rates, Diversity Outcomes, and Time-to-Hire
