1rrvc7e	"culture fit" cover for mismatch, work style never assessed, environment over role
1rsjsv5	unusual interview questions, revealing authentic self
1p90cy8	recruiter coffee invite ROI, relationship-building vs job access
1nlcxvf	empathetic interviewing, long-tenured first-time candidates
1n95sty	client demanding 50% fee cut, walking away vs negotiating
1qcxr5v	AI video interview bait-and-switch, job seekers used as PR props
1rfbz1t	executive search fee negotiation, guarantee period flexibility
1npli6y	ghosting candidates made illegal, pay transparency legislation
1r2q6ni	recovering bad interview, authenticity over performance
1nm3z9c	degree requirement blocking experienced candidates, outdated hiring checkboxes
1o01gie	ATS keyword filtering, strong candidates silently rejected
1sk3urh	candidate accepts rival offer days before start, backup candidate needed
1rx0zy0	vague rejection email, "we" vs individual contribution test
1q73abu	one-way video interviews dehumanizing, high ghosting rate after HireVue
1r83w9l	developer outreach saturation, LinkedIn InMail response collapse
1tpvitj	hiring manager review delays, below-market salary expectations
1mia8v9	commission structure cuts, UK recruitment market downturn
1m6gk8x	hiring manager approval bottleneck, candidate lost during manager delay
1rcb8hp	CV specificity over keywords, AI-written CVs undifferentiated
1ryo60i	vague fit-based rejections, recruiters screening roles they don't understand
1r1t85m	salary hidden until phone screen, internal equity problems
1psasvo	ghosted after strong interview loop, backup candidate holding pattern
1t07sz5	GitHub outreach beats LinkedIn, context-based sourcing
1p50vs0	resume scanning criteria, excluding vs advancing candidates
1s35fhh	overqualified candidates applying down, flight risk vs immediate value
