RowID	BrandFit	Domains	Asset
2249	TRANSPLANT	363	Skills-Based Hiring Email Pack: Recruiter-to-Candidate Templates for Every Screening Stage (test invite, results debrief, shortlist, rejection with feedback)
1	TRANSPLANT	320	Skills-Based Hiring Email Pack: Recruiter-to-Candidate Templates for Every Screening Stage (test invite, results debrief, shortlist, rejection with feedback)
297	TRANSPLANT	184	How to Turn a Job Analysis into a Pre-Employment Skills Assessment: A Step-by-Step Practitioner Guide with Worked Example + Free Blueprint Template
310	TRANSPLANT	149	The Candidate Scoring Matrix: A Practitioner's Guide to Pre-Hire Assessment Decisions (Skills × Role Fit Grid, Free Excel Template + Per-Cell Action Plan)
314	TRANSPLANT	139	Candidate Skills Gap Analysis: A Recruiter's Guide to Assessing Fit Before You Hire (Free Scoring Template + Role-by-Role Examples)
1467	CORE	112	Loan Officer Hiring Kit: JD Template + Skills Assessment Rubric + 5 Sample Test Questions for Credit Evaluation and Financial Analysis
1468	CORE	111	Machine Learning Engineer Hiring Kit: JD Template + Technical Assessment Rubric + 5 Sample ML Skills Test Questions (Python, Model Evaluation, Algorithm Design)
886	CORE	110	AI Engineer Hiring Kit: JD Template + Skills Assessment Rubric + 5 Sample AI/ML Test Questions with Scoring Criteria (Python, TensorFlow, Model Evaluation)
1470	TRANSPLANT	110	Financial Services Roles Hiring Kit: JD Templates + Skills Assessment Rubrics for Loan Officer, Loan Processor, and Credit Analyst (3-Role Pack with Sample Test Questions)
1471	ADJACENT	110	Training & L&D Roles Hiring Kit: JD Templates + Assessment Rubrics for Training Coordinator, Training Manager, and L&D Specialist (with Sample Skills Questions)
1472	ADJACENT	110	Training Manager Hiring Kit: JD Template + Competency Interview Scorecard + 5 Sample Skills Assessment Questions for Training Design and L&D KPIs
370	TRANSPLANT	90	Skills-Based Hiring Planning Guide: A Framework for Identifying Future Skill Needs and Screening the Right Candidates Before the Gap Hits (Free Template)
382	CORE	75	Quality of Hire Benchmark Calculator: How to Measure, Score, and Improve Hiring Quality Using Assessment Data (Free Excel Template + Industry Benchmarks)
390	CORE	69	Pre-Hire Skills Matrix: A Recruiter's Template for Scoring Candidates Against Role Requirements Before the First Interview (3 Role Examples + Free Excel Download)
429	TRANSPLANT	50	Hiring Quality & 90-Day Retention Calculator: How to Measure Whether Your Assessment Scores Actually Predict Who Stays (Free Excel Template + Formula Guide)
438	TRANSPLANT	48	The Candidate Assessment Matrix: A 2×2 Guide for Making Pre-Hire Decisions by Scoring Technical Skills Against Role Fit (Free Excel Template + Per-Quadrant Action Plan)
1353	TRANSPLANT	42	Skills-Based Hiring Email Pack: 20+ Templates for Assessment Invitations, Results Communication, and Test-Based Candidate Follow-Ups (With AIDA Framework Guidance)
471	TRANSPLANT	39	RACI Matrix for Skills-Based Hiring: Who Is Responsible, Accountable, Consulted, and Informed at Each Screening Stage (Free Excel Template + Worked Example)
487	TRANSPLANT	35	Candidate 30-60-90 Day Plan Interview Template: Help Recruiters Assess Strategic Thinking and Role Readiness Before the Offer (Free PowerPoint + Scoring Rubric)
1363	ADJACENT	22	JD + Skills-Test Pairing Generator: Enter a Job Title, Get a Draft JD with Pre-Mapped Testlify Assessment Recommendations for That Role
15	ADJACENT	21	JD + Skills-Test Pairing Generator: Paste a Job Title, Get a Draft JD with Recommended Testlify Assessments Pre-Mapped by Role
1853	TRANSPLANT	11	Skills-Test Candidate Rejection Email Templates: 5 Scripts for Every Assessment Outcome (Including Skills Feedback, Score-Based Decline, and Re-Apply Guidance)
1416	TRANSPLANT	8	Assessment-Based Candidate Rejection Email Templates: 5 Scripts for Declining Candidates Who Didn't Pass the Skills Test (With Feedback Framing Guide)
1964	CORE	6	Skills-Based Job Specification Template: A Recruiter's Guide to Writing Candidate Profiles That Actually Predict Performance (Free Template + Examples for 5 Roles)
2112	ADJACENT	6	Hiring Kit Library: JD Templates + Bundled Skills Assessment Rubrics for 50 Common Roles (Tech, HR, Marketing, Operations) — One Kit Per Role with Sample Test Questions
2113	CORE	6	HR Roles Hiring Kit: JD Templates + Skills-Based Profiles + Sample Assessment Questions for Benefits Coordinator, HR Generalist, and Recruiter (Free Download)
