1mpbrm4	boss harvests employee blood, mandatory donation for stats, medical privacy violation
1mc1byh	accidentally saw termination email, fired without warning, ride it out quietly
1pntmta	top performer used slur, no-witness racial incident, fear of reporting retaliation
1poemw0	life-threatening allergy ignored, mandatory unsafe venue, ADA accommodation request
1ndxmta	HR disclosed resignation reason, confidentiality breach, coworker confrontation
1otzyf2	undisclosed child with coworker, workplace relationship disclosure, career damage fear
1me3laj	racial slur dismissed as joke, HR brushes off complaint, workplace harassment ignored
1n5ohbj	blank background instruction ignored, interview ended immediately, cow painting disqualified
1qfjv5y	role eliminated during maternity leave, forced early return pressure, FMLA protection
1sekapw	post-interview recording accidentally sent, appearance mocked off-record, salary low-balled
1mwgs0e	retroactive commission clawback, earned pay taken back, no repayment policy signed
1qm355q	exit interview after firing, involuntary termination no benefit, three weeks later outreach
1r0hbs3	accept new role or fired, two jobs one salary, no HR involvement
1u3i8f5	boss affair with wife, HR report for revenge, save texts for divorce lawyer
1njgtwo	doctor's note WFH denied, kidney stone accommodation refused, ADA interactive process
1rueh11	manager blames employee for divorce, asked to lie to spouse, only female on team
1m1zole	manager fired after raise leaked, loyalty quit backfired, 5% promotion insult
1s7tjj2	candidate asks if interviewer pregnant, repeated pregnancy questions, culture fit disqualifier
1u0ub56	fired employee's wife contacts owner, wrongful termination fishing, do not respond advice
1s3xvix	approved PTO clawed back, unauthorized final paycheck deduction, accrual vs approval gap
1q4l32f	coworker breaks into locked office, repeat boundary violation, security footage termination
1r6efr9	AI-generated vendor spam posts, fake transparency disclosure, moderator-reported pattern
1n0wf37	broken ankle no return allowed, no restrictions policy, ADA accommodation for teacher
1rbmab1	HR added to performance review, retaliation after investigation, witness protection concern
1pwqnax	boss-employee dinner questioned, wife uncomfortable with frequency, non-work 1:1 boundary
