RowID	BrandFit	Domains	Asset
311	TRANSPLANT	147	Training Specialist Hiring Kit for TA Teams: Structured Interview Scorecard, Behavioral Question Bank, and Skills-Test Pre-Screen Blueprint
1792	TRANSPLANT	142	Structured Interview Scoring Guide for High-Empathy Roles: Behavioral Questions, Look-For Indicators, and Skills-Test Blueprint for Roles Requiring EQ + Compliance Knowledge
1464	TRANSPLANT	140	Training Specialist Interview Scorecard Template: Structured Questions Across 4 Competency Tracks with Look-For Indicators and Skills-Test Pre-Screen Blueprint
2251	CORE	140	100 Deep Learning Interview Questions with Answers + Free Screening Assessment (public sample Qs, no signup required)
6	CORE	102	NLP Engineer Hiring Kit: Structured Interview Scorecard + Skills-Test Blueprint (with sample screening questions by tier)
8	CORE	100	Computer Vision Role Hiring Guide: Interview Questions with Sample Answers + Pre-Screen Skills-Test Map
2254	CORE	100	100 NLP Interview Questions with Tiered Difficulty + Free NLP Skills Screener (sample questions visible pre-signup)
2263	CORE	40	100 Computer Vision Interview Questions with Answers + Practical Task Prompts for On-the-Spot Screening
511	CORE	31	Structured Cultural-Fit Assessment Guide for Hiring Teams: Interview Questions with Scoring Rubric, Anti-Bias Guardrails, and Skills-Test Integration Blueprint
18	CORE	16	Deep Learning Engineer Interview Scorecard: Tiered Questions with Pass/Fail Indicators and Pre-Screen Test Recommendations
1834	TRANSPLANT	15	Behavioral Competency Interview Kit for Hiring Managers: 25 Questions Covering Empathy, Resilience, and Communication with Scoring Rubric and Pre-Screen Personality+Skills Blueprint
1400	CORE	11	Strategic Interview Questions Guide for Hiring Managers: 30 Questions Across 4 Types with Look-For Indicators, Scoring Rubric, and Pre-Screen Assessment Blueprint
1871	CORE	10	Graphic Designer Interview & Screening Kit for TA Teams: 44 Questions with Sample Answers, Scoring Rubric, and Pre-Screen Portfolio-Review + Skills-Test Blueprint
1875	CORE	10	Scenario-Based & Situational Interview Question Bank for Hiring Managers: 30 Questions Across 5 Role Types with Sample Answers, Scoring Rubric, and Situational-Judgment Pre-Screen Blueprint
915	CORE	8	Skills Assessment Library: 500+ Role-Specific Tests with Sample Questions, Benchmark Score Ranges, and Hiring Use-Case Descriptions
1897	CORE	8	Advanced Excel & Data Skills Interview Kit for TA Teams: Tiered Questions with Full Sample Answers, Scoring Rubric, and Pre-Screen Excel Skills-Assessment Blueprint
1903	CORE	8	C++ Developer Interview & Screening Kit: 40 Tiered Questions with Sample Answers, Competency-to-Skills Map, and Pre-Screen Coding Assessment Blueprint
1911	CORE	8	PHP Developer Interview Kit for TA Teams: 100 Tiered Questions with Full Sample Answers, Scoring Rubric, and Pre-Screen PHP Skills-Assessment Blueprint
1949	CORE	6	Backend Developer Interview & Screening Kit for TA Teams: 70 Tiered Questions with Full Sample Answers, Competency Map, and Pre-Screen Multi-Language Skills-Assessment Blueprint
1952	CORE	6	Communication Skills Interview Kit for Hiring Managers: 20 Questions Across 4 Styles with Full Sample Answers, Scoring Rubric, and Pre-Screen Communication Skills-Assessment Blueprint
1955	CORE	6	Critical Thinking Interview & Assessment Integration Guide for Hiring Managers: 17 Questions with Sample Answers, Scoring Rubric, and Pre-Screen Test Interpretation Blueprint
1968	CORE	6	Product Owner Interview & Screening Kit for TA Teams: Tiered Questions with Sample Answers, Competency Scorecard, and Pre-Screen Agile + Product-Sense Skills-Assessment Blueprint
62	CORE	5	React Developer Screening Kit for TA Teams: 40 Tiered Questions with Sample Answers + Skills-Test Shortlist Criteria
67	CORE	5	TypeScript Developer Interview Kit for Non-Technical Recruiters: 35 Key Questions, Sample Answers, and a Pre-Screen Skills Assessment Guide
1992	CORE	5	Behavioral Interview Question Bank & Scoring Guide for Hiring Managers: 50 Questions Across 4 Competencies with Full Sample Answers, STAR Scoring Rubric, and Pre-Screen Skills-Assessment Blueprint
1993	CORE	5	Complete Interview Question Bank for Hiring Managers: 75 Questions Across 5 Types with Full Sample Answers, Role-Specific Scoring Rubric, and Pre-Screen Skills-Assessment Blueprint
2004	CORE	5	Executive Assistant Interview & Screening Kit for TA Teams: 38 Questions with Full Sample Answers, Competency Scorecard, and Pre-Screen Office Skills + Cognitive Assessment Blueprint
2024	CORE	5	Problem-Solving Interview & Assessment Integration Guide: 12 Questions with Sample Answers, Scoring Rubric, and Pre-Screen Aptitude Test Interpretation Blueprint
76	CORE	4	JavaScript Developer Screening Pack: 50 Questions with Full Sample Answers and a 3-Stage Pre-Screen Skills Assessment Blueprint
77	CORE	4	React Native Developer Interview Guide with Sample Answers and Pre-Screen Skills-Test Blueprint (iOS, Android, and Cross-Platform Tracks)
949	CORE	4	ASP.NET MVC / .NET Developer Interview Kit for TA Teams: Tiered Questions with Sample Answers and Pre-Screen Skills-Assessment Blueprint
955	CORE	4	Python Developer Interview & Screening Guide for TA Teams: Tiered Questions with Sample Answers, Scoring Rubric, and Pre-Screen Assessment Blueprint
961	CORE	4	Illegal Interview Questions: Global Compliance Checklist for Hiring Teams (EEOC + UK + EU) with Safe-Alternative Scripts and Structured Interview Scorecard
2137	CORE	4	C++ Developer Interview Scorecard: 37 Questions Mapped to 5 Evaluation Dimensions with Sample Answers, Rubric, and Pre-Screen Coding Assessment Blueprint
101	TRANSPLANT	3	Business Analyst Skills Assessment & Interview Kit: Pre-Screen Test Map + 40 Tiered Questions with Sample Answers and Scorecard Template
112	CORE	3	Python Developer Screening Kit: Debugging & Problem-Solving Questions with Sample Answers, Scoring Rubric, and Pre-Screen Test Blueprint
2324	CORE	3	Free Interview Question Library by Role and Skill: 50+ Role Pages, All Questions Publicly Visible, Paired with One-Click Assessments
2325	CORE	3	100 Power BI Interview Questions with Answers + Data Analyst Skills Assessment (public sample, free shareable result)
145	CORE	2	AI & ML Engineer Hiring Playbook: Interview Question Set with Sample Answers, Skills-Test Pre-Screen Map, and Scorecard Template
146	CORE	2	Azure Cloud Engineer Interview Guide for TA Teams: Tiered Questions with Sample Answers and a Pre-Screen Skills-Assessment Blueprint
147	CORE	2	C# Developer Interview & Screening Guide for TA Teams: Key Questions with Sample Answers and Pre-Screen Assessment Blueprint
148	CORE	2	Computer Networking Engineer Interview & Screening Guide for Recruiters: Tiered Questions with Sample Answers and Pre-Screen Assessment Blueprint
149	CORE	2	Computer Science Fundamentals Interview Guide for Engineering Hiring Managers: 50 Key Questions with Sample Answers and a Pre-Screen Assessment Blueprint
156	CORE	2	Flutter Developer Interview & Screening Kit for TA Teams: Tiered Questions with Sample Answers, Scoring Rubric, and Pre-Screen Assessment Blueprint
168	CORE	2	Frontend Developer (HTML/CSS) Interview Kit for Recruiters: Tiered Questions with Sample Answers and Pre-Screen Skills-Assessment Blueprint
173	CORE	2	Kafka Engineer Interview & Screening Guide for TA Teams: Junior-to-Senior Questions with Full Sample Answers and a Pre-Screen Assessment Blueprint
174	CORE	2	Kubernetes Engineer Interview Kit for TA Teams: Tiered Questions with Full Sample Answers and Pre-Screen Scoring Guide
175	CORE	2	Laravel Developer Interview Kit for TA Teams: Tiered Questions with Sample Answers and Pre-Screen Assessment Blueprint
176	CORE	2	Linux/DevOps Engineer Interview Kit for Recruiters: Tiered Questions with Sample Answers and Pre-Screen Skills-Assessment Blueprint
177	CORE	2	Linux DevOps Interview Scoring Guide for TA Teams: Key Questions with Sample Answers and a Pre-Screen Assessment Blueprint
178	CORE	2	Numerical Reasoning & Quantitative Skills Interview Kit for Recruiters: Focused Questions with Sample Answers, Scoring Rubric, and Pre-Screen Aptitude Test Blueprint
179	CORE	2	Perl Developer Interview & Screening Guide for TA Teams: Tiered Questions with Full Sample Answers and Pre-Screen Assessment Blueprint
185	CORE	2	SAS / Data Analytics Screening Kit for TA Teams: Tiered Interview Questions with Full Sample Answers and Pre-Screen Assessment Blueprint
208	CORE	2	Language Proficiency Interview Guide for Global Hiring Teams: Tiered Questions with Sample Answers, Scoring Rubric, and Pre-Screen Language Assessment Blueprint
213	CORE	2	QA Engineer (TestNG/Java) Interview Kit for Recruiters: Tiered Questions with Sample Answers and Pre-Screen Skills-Test Blueprint
1055	CORE	2	Illegal Interview Questions: Global Compliance Checklist for Hiring Teams (EEOC + UK + EU) with Safe-Alternative Scripts and Structured Interview Scorecard
1080	CORE	2	Front-End Developer (HTML/CSS/JS) Interview & Screening Kit for TA Teams: 50 Tiered Questions with Sample Answers, Scoring Rubric, and Pre-Screen Assessment Blueprint
1081	CORE	2	Java Developer Interview Kit (Java 17+): Tiered Questions with Sample Answers, Modern Java Coverage, and Pre-Screen Assessment Blueprint
1085	CORE	2	PHP Developer Interview & Screening Guide for TA Teams: Tiered Questions with Sample Answers, Scoring Rubric, and Pre-Screen Assessment Blueprint
2234	CORE	2	Internal Mobility Interview Kit: Role-Readiness Questions + Skills Assessment Map for 10 Common Internal Moves
