1o2kjdo	AI candidate impersonation, fake interview bots, recruiter-vs-candidate AI arms race
1mps033	secretly working multiple jobs, overemployed remote worker, surveillance policy overreaction
1lvn993	insulting feedback sent to candidate, hiring manager email mistake
1o6hb0e	rigid salary refusal, offer below posted range, restarting search unnecessarily
1n0yysn	rejected on high school grade, absurd rejection criteria
1potj30	offer lowballed after months-long process, client refusing salary negotiation, slow interview scheduling losing candidates
1nno6ei	H-1B policy unpredictability, clients shifting away from H-1B, offshoring as fallback
1nhx4x6	North Korean fake candidates, fraudulent remote applicants, stolen identity red flags
1n2s22u	candidate dress code rejection, EVP judging VP on jeans
1nlffj7	$100k H-1B visa fee, offshoring acceleration, domestic talent shortage
1ofji17	communication clarity as hiring signal, AI-generated resume noise
1mi2cgu	harassing candidate emails exec team, unhinged LinkedIn connection
1s56uty	salary mismatch at offer stage, mandatory pay transparency, candidates rejected for knowing their worth
1n50dxd	LinkedIn Recruiter broken filters, low InMail response rates, overpriced tool
1nxapg9	AI recruiter tools overhyped, recruiters never consulted in tool design, bots replacing human judgment
1o96fg4	camera refusal hiding fake candidate, zoom interview no-show, proxy interviewers
1tgi34h	unrealistic job requirements, senior experience junior pay, self-sabotaging hiring standards
1oec07f	AI tools coaching candidates live, candidates reading AI responses on screen, arms race between recruiter and candidate AI
1q63i3f	junior candidates interviewing poorly, AI-polished pitches masking weak answers, unprofessional zoom behavior
1n11xse	candidate rejected as "too perfect", hiring manager blocking strong candidates
1miu768	senior candidate reading AI answers live, eyes scanning screen during interview
1u7zqlt	market-wide hesitation, candidates withdrawing mid-process, trust breakdown on all sides
1roalg0	anonymous email accusing new hire of fraud, candidate impersonation concerns
1t3jwmw	North Korean fake candidates passing screening, fraudulent ID verification failure, remote tech role infiltration
1nkks8w	hiring managers refusing to budge on unicorn requirements, roles sitting open 6+ months, job huggers avoiding risk
