RowID|BrandFit|AngleGap|Asset|DistinctAngle|Notes
1516|SKIP|||  |SKIP — job advertisement writing tips; sourcing/marketing mechanics, not hiring assessment
1519|ADJACENT|~300 words, definition only, no candidate experience survey template, no benchmark data, no example touchpoint map|Candidate Experience in Hiring: Definition + Assessment-Stage Benchmarks + Survey Template Kit|adds benchmark data on where candidate experience breaks down at the assessment stage and a ready-to-use survey template — things this page entirely omits|
1522|SKIP|||  |SKIP — inbound vs outbound recruiting strategy comparison; ATS/sourcing mechanics, off-brand
1524|SKIP|||  |SKIP — career fair definition; sourcing event logistics, off-brand
1525|SKIP|||  |SKIP — forced ranking; post-hire performance management, off-brand
1526|SKIP|||  |SKIP — recruitment marketing definition and strategy; off-brand (marketing/sourcing, not assessment)
1527|SKIP|||  |SKIP — remote work benefits for employers; workplace/culture topic, off-brand
1529|TRANSPLANT|~250 words, two-section glossary entry, no job description template, no assessment-pairing guidance, no interview scorecard|Hiring Manager's Assessment Playbook: Role Definition + Scorecard + Skills-Test Pairing Guide|transplants the glossary format onto Testlify's turf — goes beyond a definition to include a role-kickoff scorecard and which skills tests to pair per role type; this page has none of that|transplanted from: hiring manager glossary definition
1530|ADJACENT|~600 words, definition + process overview but no benchmark data on TA funnel conversion rates, no skills-based TA framework, no template|The Skills-Based Talent Acquisition Guide: Funnel Benchmarks + Assessment Integration Playbook|adds TA funnel conversion benchmarks and a practical skills-based screening framework — this page only defines TA without any data or actionable structure|
1531|SKIP|||  |SKIP — employee value proposition (EVP); retention/employer branding topic, off-brand
1532|SKIP|||  |SKIP — talent pool building guide; CRM/sourcing mechanics, off-brand
1533|SKIP|||  |SKIP — how recruiters find candidates; sourcing tactics, off-brand
1534|TRANSPLANT|Single email template only, no guidance on when to reject (stage-specific), no data on how rejection timing affects employer brand, no alternative feedback options|Candidate Rejection Done Right: Stage-by-Stage Templates + Assessment Feedback Scripts|transplants the email-template format; adds stage-specific versions (post-screen, post-assessment, post-interview) and assessment-specific feedback scripts — this page has one generic template and no stage logic|transplanted from: rejection letter template
1535|ADJACENT|~350 words, six-stage journey list only, no diagram, no assessment-stage deep dive, no touchpoint quality data|The Candidate Journey Assessment Map: Where Skills Tests Fit and How to Optimise Each Touchpoint|adds a visual stage-by-stage map with explicit guidance on where assessments appear in the journey and how test UX affects drop-off — this page lists stages with no actionable depth|
1536|SKIP|||  |SKIP — candidate relationship management / CRM tool; ATS/CRM sourcing mechanics, off-brand
1537|SKIP|||  |SKIP — social recruiting; social media sourcing tactics, off-brand
1538|SKIP|||  |SKIP — executive recruiting tips; sourcing and relationship-building tactics, off-brand
1540|CORE|Covers cost-per-hire definition and formula but has no benchmark data by company size or industry, no skills-assessment ROI angle, and the "6 ways to reduce" section is generic advice without data|Cost-Per-Hire Benchmark Report: Industry Data + How Skills-Based Screening Cuts It (With Real Numbers)|goes beyond definition — publishes cost-per-hire benchmarks segmented by industry and shows with data how pre-employment assessment reduces cost-per-hire; this page has neither benchmarks nor an assessment lens|
1541|SKIP|||  |SKIP — employee recognition programs; post-hire retention topic, off-brand
1542|SKIP|||  |SKIP — remote onboarding best practices; post-hire L&D/onboarding topic, off-brand
1543|CORE|~250 words, definition-only entry: three bullets each on "benefits" and "solutions" — no skills gap analysis template, no tool, no role-level example|Skills Gap Analysis Template + Role-by-Role Assessment Map for Hiring Teams|takes the glossary entry's format and expands it into a working tool: a downloadable skills gap analysis template pre-mapped to roles and linked to specific assessment types; this page is a bare definition with no usable output|
1545|ADJACENT|Tip #5 mentions "Conduct tests and assessments" in one paragraph with no depth — the entire article is generic recruiting tips with no assessment-specific guidance, no rubric, no example|7-Step Structured Hiring Checklist with Assessment Decision Guide (Which Test for Which Role)|keeps the listicle format; every tip now has an assessment decision node — which test type applies, how to score, what to do with results; this page mentions assessments in passing only|
1546|TRANSPLANT|Covers job requirements writing well (good/bad examples) but is framed for job descriptions, not for designing skills-based assessment criteria — no mapping from requirement to test type|Skills-Based Job Requirements Guide: Translating Must-Haves into Assessment Criteria (With Examples)|transplants the good/bad-example format; maps each requirement type (technical skill, soft skill, cognitive) to a specific assessment approach — this page stops at the job description and never crosses into screening|transplanted from: job requirements tutorial
1547|SKIP|||  |SKIP — employee referral bonus ideas; retention/employee incentive topic, off-brand
1549|SKIP|||  |SKIP — employee referral programs improving time/cost/quality of hire; sourcing channel mechanics, off-brand
1550|TRANSPLANT|11 tips for tech recruiting, all focused on sourcing and brand-building — Tip #5 "give tech talent a challenge" is the only mention of skills testing, covered in one sentence with no depth|Tech Skills Assessment Guide: How to Evaluate Developers, Data Scientists, and IT Roles Before the Interview|transplants the listicle-with-role-specifics format; makes skills assessment the core, not a footnote — which test types work for which tech roles, how to avoid false negatives, what a good pass rate looks like; this page buries assessment in one line|transplanted from: tech recruiting tips
1554|ADJACENT|5 hiring process steps, generic — step 4 is "Candidate Experience" (no assessment sub-step), no metrics framework, no mention of structured scoring; time-to-hire section lacks benchmark data|Hiring Process Benchmark Guide: Steps + Average Time-to-Hire by Stage + Assessment Integration Checklist|keeps the steps-plus-metrics format; adds real time-to-hire benchmarks per stage and an assessment-integration checklist for each step — this page mentions metrics without providing any data|
1556|TRANSPLANT|Long glossary page covering job requirements in detail (must-haves vs nice-to-haves, soft skills, cultural fit) but no link to assessment design, no test-type mapping, no skills-based hiring angle|Skills-Based Job Requirements Glossary: From Must-Haves to Assessment-Ready Criteria (With Test-Type Mapping)|transplants the comprehensive glossary format; each requirement category now maps to the assessment type that validates it — this page stays inside job descriptions and never crosses into hiring decisions|transplanted from: job requirements glossary
1557|SKIP|||  |SKIP — 2019 recruiting trends infographic; stale (2018 data), general recruitment marketing trends, off-brand
1558|SKIP|||  |SKIP — 60 benefits of recruitment software (ATS/CRM product); ATS/sourcing product mechanics, off-brand
1559|CORE|Covers structured interview definition, advantages, and a 5-step how-to — but no downloadable scorecard template, no sample question bank by competency, no data comparing structured vs unstructured predictive validity beyond a general claim|Structured Interview Scorecard Kit: Competency-by-Competency Question Bank + Scoring Rubrics (With Validity Data)|keeps the ultimate-guide format; adds a ready-to-use scorecard template, 50+ questions organised by competency, and cites published validity research — this page tells you what structured interviews are without giving you the tools to run one|
1560|ADJACENT|10 tips for candidate experience improvement, but zero coverage of the assessment stage: no guidance on test UX, feedback to candidates after assessments, or how long a skills test should take|The Assessment-Stage Candidate Experience Guide: Test UX, Time-Limits, Feedback, and Drop-Off Data|keeps the numbered-tips format; focuses entirely on the assessment touchpoint (the most friction-heavy stage this page ignores) — UX principles, time-on-test norms, how to give constructive automated feedback; this page skips the test stage entirely|
1561|TRANSPLANT|Good job-posting guide with structure and examples but framed for employer branding / job ads — no coverage of skills-based job postings, no guidance on linking requirements to assessments in the posting itself|Skills-First Job Posting Guide: How to Write Requirements That Set Up Your Assessment Process (With Templates)|transplants the guide + real examples format; reframes job postings as the front end of an assessment pipeline — how to write requirements that map cleanly to tests and avoid bias; this page stays in marketing/sourcing territory|transplanted from: job posting guide
