Competitor,URL,Domains,Backlinks,ResponseCode,Title
aihr,https://www.aihr.com/blog/hr-trends/,485,1426,200,11 HR Trends for 2026: Shaping What’s Next - AIHR
aihr,https://www.aihr.com/hr-glossary/performance-bonus/,444,1177,200,What Is a Performance Bonus? (+ Examples) | HR Glossary - AIHR
aihr,https://www.aihr.com/hr-glossary/discretionary-bonus/,420,1017,200,"Discretionary Bonus: Meaning, Examples and More | HR Glossary - AIHR"
aihr,https://www.aihr.com/hr-glossary/retention-bonus/,389,902,200,Retention Bonus: Definition and Examples | HR Glossary - AIHR
aihr,https://www.aihr.com/hr-glossary/spot-bonus/,376,769,200,What Is a Spot Bonus? | HR Glossary - AIHR
aihr,https://www.aihr.com/blog/employee-referral-program/,359,592,200,Design an Employee Referral Program (With Free Sample) - AIHR
aihr,https://www.aihr.com/blog/compensation-and-benefits/,336,609,200,Compensation and Benefits: The Complete Guide - AIHR
aihr,https://www.aihr.com/hr-glossary/merit-pay/,330,563,200,What is Merit Pay? | HR Glossary - AIHR
aihr,https://www.aihr.com/blog/employee-incentive-programs/,328,591,200,The 21 Best Employee Incentive Programs [+ Real-Life Examples] - AIHR
aihr,https://www.aihr.com/hr-glossary/merit-increase/,327,556,200,Merit Increase Meaning | HR Glossary - AIHR
aihr,https://www.aihr.com/hr-glossary/relocation-bonus/,314,536,200,What Is a Relocation Bonus? | AIHR - HR Glossary
aihr,https://www.aihr.com/hr-glossary/fringe-benefits/,312,500,200,What Are Fringe Benefits? | AIHR - HR Glossary
aihr,https://www.aihr.com/hr-glossary/incentive-pay/,302,491,200,What Is Incentive Pay? [+ Examples] | HR Glossary - AIHR
aihr,https://www.aihr.com/hr-glossary/variable-pay/,299,498,200,Variable Pay: Definition and Examples | HR Glossary - AIHR
aihr,https://www.aihr.com/blog/compensation-plan-template/,287,478,200,[Free] Compensation Plan Template and 7-Step Guide - AIHR
aihr,https://www.aihr.com/blog/employee-onboarding-statistics/,287,992,200,27+ Employee Onboarding Statistics You Must Know in 2026 - AIHR
aihr,https://www.aihr.com/blog/ai-in-hr/,282,3113,200,AI in HR: A Comprehensive Guide [2026 Edition] - AIHR
aihr,https://www.aihr.com/blog/hr-acronyms/,269,453,200,Your A-Z Guide of HR Acronyms & Abbreviations - AIHR
aihr,https://www.aihr.com/blog/recruiting-metrics/,237,611,200,23 Recruiting Metrics You Should Know - AIHR
aihr,https://www.aihr.com/blog/employee-referral-programs-examples/,230,345,200,7 Brilliant Employee Referral Programs Examples - AIHR
aihr,https://www.aihr.com/blog/learning-and-development/,225,467,200,Learning and Development: A Comprehensive Guide - AIHR
aihr,https://www.aihr.com/blog/learning-and-development-statistics/,208,407,200,30+ L&D Statistics You Need To Know in 2026 - AIHR
aihr,https://www.aihr.com/blog/360-degree-feedback/,201,444,200,360 Degree Feedback: A Comprehensive Guide - AIHR
aihr,https://www.aihr.com/blog/employee-performance-metrics/,194,373,200,23 Employee Performance Metrics To Track - AIHR
